Date,appeal_count,data_type,lower_ci,upper_ci,best_model,model_mae,model_rmse,model_r2,model_mape
2025-03-10,151.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-11,101.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-12,135.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-13,114.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-14,129.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-15,80.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-16,86.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-17,150.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-18,121.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-19,84.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-20,120.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-21,114.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-22,82.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-23,99.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-24,124.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-25,95.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-26,130.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-27,98.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-28,126.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-29,60.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-30,84.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-03-31,120.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-01,145.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-02,115.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-03,110.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-04,118.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-05,91.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-06,65.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-07,160.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-08,125.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-09,121.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-10,100.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-11,79.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-12,43.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
